title,author,published_year,language,subjects,cover,content
"ausgezeichnet! baukultur und archäologie: 25 jahre brandenburgischer denkmalpflegepreis, 1992-2017","nicola bröcker, celina kress, simone oelker, markus hilbich",2018,german,"historic buildings, exhibitions, conservation and restoration, architecture, awards, cultural property, historic preservation, antiquities, germany, brandenburg",https://openlibrary.org/images/icons/avatar_book-sm.png,title: ausgezeichnet! baukultur und archäologie: 25 jahre brandenburgischer denkmalpflegepreis  1992-2017. title: ausgezeichnet! baukultur und archäologie: 25 jahre brandenburgischer denkmalpflegepreis  1992-2017. author: nicola bröcker  celina kress  simone oelker  markus hilbich. author: nicola bröcker  celina kress  simone oelker  markus hilbich. subjects: historic buildings  exhibitions  conservation and restoration  architecture  awards  cultural property  historic preservation  antiquities  germany  brandenburg
ausgezeichneter stahlbau 2018,bauforumstahl,2018,german,"iron and steel building, structural steel, modern architecture, architecture, awards, germany, 21st century",https://openlibrary.org/images/icons/avatar_book-sm.png,title: ausgezeichneter stahlbau 2018. title: ausgezeichneter stahlbau 2018. author: bauforumstahl. author: bauforumstahl. subjects: iron and steel building  structural steel  modern architecture  architecture  awards  germany  21st century
battaglia foundry sculpture prize 2018,fonderia artistica battaglia,2018,english,"artists' preparatory studies, catalogs, bronze sculpture, awards, 21st century",https://openlibrary.org/images/icons/avatar_book-sm.png,title: battaglia foundry sculpture prize 2018. title: battaglia foundry sculpture prize 2018. author: fonderia artistica battaglia. author: fonderia artistica battaglia. subjects: artists' preparatory studies  catalogs  bronze sculpture  awards  21st century
bauherrenpreis '18,vienna insurance group,2018,german,"bauherrenpreis der zentralvereinigung der architektinnen und architekten österreichs, exhibitions, austrian architecture, modern architecture, architecture, competitions, awards, austria, 21st century",https://openlibrary.org/images/icons/avatar_book-sm.png,title: bauherrenpreis '18. title: bauherrenpreis '18. author: vienna insurance group. author: vienna insurance group. subjects: bauherrenpreis der zentralvereinigung der architektinnen und architekten österreichs  exhibitions  austrian architecture  modern architecture  architecture  competitions  awards  austria  21st century
best american magazine writing 2017,"sid holt, the american so editors",2018,english,"american prose literature, journalism, awards",https://openlibrary.org/images/icons/avatar_book-sm.png,title: best american magazine writing 2017. title: best american magazine writing 2017. author: sid holt  the american so editors. author: sid holt  the american so editors. subjects: american prose literature  journalism  awards
bms '19: bakat muda sezaman = young contemporaries : open + lab,balai seni lukis negara (malaysia),2018,english,"malaysian art, exhibitions, modern art, art, competitions, awards, artists, biography, young artists, art museum curators, malaysia, 21st century",https://openlibrary.org/images/icons/avatar_book-sm.png,title: bms '19: bakat muda sezaman = young contemporaries : open + lab. title: bms '19: bakat muda sezaman = young contemporaries : open + lab. author: balai seni lukis negara (malaysia). author: balai seni lukis negara (malaysia). subjects: malaysian art  exhibitions  modern art  art  competitions  awards  artists  biography  young artists  art museum curators  malaysia  21st century
co po cybisie?,"michał jachuła, małgorzata jurkiewicz, zachęta narodowa galeria sztuki (warsaw,...",2018,polish,"polish painting, exhibitions, modern painting, painters, interviews, art, awards, poland, 20th century, 21st century",https://openlibrary.org/images/icons/avatar_book-sm.png,title: co po cybisie?. title: co po cybisie?. author: michał jachuła  małgorzata jurkiewicz  zachęta narodowa galeria sztuki (warsaw .... author: michał jachuła  małgorzata jurkiewicz  zachęta narodowa galeria sztuki (warsaw .... subjects: polish painting  exhibitions  modern painting  painters  interviews  art  awards  poland  20th century  21st century
cyberarts 2017: international compendium prix ars electronica,"hannes leopoldseder, christine schöpf, gerfried stocker",2018,english,"computer art, computer animation, awards, technology and the arts",https://covers.openlibrary.org/b/id/9175595-M.jpg,title: cyberarts 2017: international compendium prix ars electronica. title: cyberarts 2017: international compendium prix ars electronica. author: hannes leopoldseder  christine schöpf  gerfried stocker. author: hannes leopoldseder  christine schöpf  gerfried stocker. subjects: computer art  computer animation  awards  technology and the arts
cyberarts 2018,"hannes leopoldseder, gerfried stocker, christine schöpf",2018,english,"computer art, awards, computer animation, technology and the arts",https://openlibrary.org/images/icons/avatar_book-sm.png,title: cyberarts 2018. title: cyberarts 2018. author: hannes leopoldseder  gerfried stocker  christine schöpf. author: hannes leopoldseder  gerfried stocker  christine schöpf. subjects: computer art  awards  computer animation  technology and the arts
"es dauert, es ist riskant, es bleibt womöglich für immer: 2017/18",oliver kornhoff,2018,"german, english","ceramic sculpture, exhibitions, art, awards, germany, rhineland-palatinate, 21st century",https://openlibrary.org/images/icons/avatar_book-sm.png,title: es dauert  es ist riskant  es bleibt womöglich für immer: 2017/18. title: es dauert  es ist riskant  es bleibt womöglich für immer: 2017/18. author: oliver kornhoff. author: oliver kornhoff. subjects: ceramic sculpture  exhibitions  art  awards  germany  rhineland-palatinate  21st century
"guang ying 40 nian: da zhong dian ying bai hua jiang, zhongguo dian ying jin ji jiang zui jia gu shi pian",zhongguo dian ying jia xie hui,2018,chinese,"motion pictures, film festivals, awards, china, 20th century, 21st century",https://openlibrary.org/images/icons/avatar_book-sm.png,title: guang ying 40 nian: da zhong dian ying bai hua jiang  zhongguo dian ying jin ji jiang zui jia gu shi pian. title: guang ying 40 nian: da zhong dian ying bai hua jiang  zhongguo dian ying jin ji jiang zui jia gu shi pian. author: zhongguo dian ying jia xie hui. author: zhongguo dian ying jia xie hui. subjects: motion pictures  film festivals  awards  china  20th century  21st century
história crítica do prémio valmor,josé manuel pedreirinho,2018,portuguese,"prémio valor, history, architecture, awards, portugal, lisbon",https://openlibrary.org/images/icons/avatar_book-sm.png,title: história crítica do prémio valmor. title: história crítica do prémio valmor. author: josé manuel pedreirinho. author: josé manuel pedreirinho. subjects: prémio valor  history  architecture  awards  portugal  lisbon
häuser des jahres,max scharnigg,2018,german,"haus des jahres (award), domestic architecture, pictorial works, designs and plans, awards, german-speaking europe",https://openlibrary.org/images/icons/avatar_book-sm.png,title: häuser des jahres. title: häuser des jahres. author: max scharnigg. author: max scharnigg. subjects: haus des jahres (award)  domestic architecture  pictorial works  designs and plans  awards  german-speaking europe
ilija trojanow: heinrich-böll-preis der stadt köln 2017,"ilija trojanow, gabriele lieselotte ewenz, stadtbibliothek köln",2018,german,"german literature, appreciation, german authors, interviews, award winners, literary prizes, history, awards, ilija trojanow, germany, cologne, 20th century, 21st century",https://openlibrary.org/images/icons/avatar_book-sm.png,title: ilija trojanow: heinrich-böll-preis der stadt köln 2017. title: ilija trojanow: heinrich-böll-preis der stadt köln 2017. author: ilija trojanow  gabriele lieselotte ewenz  stadtbibliothek köln. author: ilija trojanow  gabriele lieselotte ewenz  stadtbibliothek köln. subjects: german literature  appreciation  german authors  interviews  award winners  literary prizes  history  awards  ilija trojanow  germany  cologne  20th century  21st century
"kaiga, hanga no shōjiten",nichigai asoshiētsu,2018,japanese,"japanese painting, handbooks, manuals, awards, japanese prints, award winners, painting, prints, kaiga-benran, hanga-benran, hyōshō-benran, japan, 1868-",https://openlibrary.org/images/icons/avatar_book-sm.png,title: kaiga  hanga no shōjiten. title: kaiga  hanga no shōjiten. author: nichigai asoshiētsu. author: nichigai asoshiētsu. subjects: japanese painting  handbooks  manuals  awards  japanese prints  award winners  painting  prints  kaiga-benran  hanga-benran  hyōshō-benran  japan  1868-
"l'urbanisme des milieux vivants: agence ter (henri bava, michel hössler, olivier philippe) : grand prix de l'urbanisme 2018 : nominés, patrick bouchain, françois leclercq, jacqueline osty",ariella masboungi,2018,french,"grand prix de l'urbanisme, urban landscape architecture, city planning, awards, agence ter (firm), henri bava (1957-), michel hoessler (1958-), olivier philippe (1954-), france",https://openlibrary.org/images/icons/avatar_book-sm.png,title: l'urbanisme des milieux vivants: agence ter (henri bava  michel hössler  olivier philippe) : grand prix de l'urbanisme 2018 : nominés  patrick bouchain  françois leclercq  jacqueline osty. title: l'urbanisme des milieux vivants: agence ter (henri bava  michel hössler  olivier philippe) : grand prix de l'urbanisme 2018 : nominés  patrick bouchain  françois leclercq  jacqueline osty. author: ariella masboungi. author: ariella masboungi. subjects: grand prix de l'urbanisme  urban landscape architecture  city planning  awards  agence ter (firm)  henri bava (1957-)  michel hoessler (1958-)  olivier philippe (1954-)  france
le village,corentin fohlen,2018,french,"documentary photography, photography, awards, pictorial works, haiti, morne-à-cabri, france, morne-à-cabri (haiti)",https://openlibrary.org/images/icons/avatar_book-sm.png,title: le village. title: le village. author: corentin fohlen. author: corentin fohlen. subjects: documentary photography  photography  awards  pictorial works  haiti  morne-à-cabri  france  morne-à-cabri (haiti)
"losing the nobel prize: a story of cosmology, ambition, and the perils of science's highest honor",brian keating,2018,english,"methodology, awards, nobel prizes, science, astronomy, big bang theory, cosmology, science, methodology, nobel prizes",https://openlibrary.org/images/icons/avatar_book-sm.png,title: losing the nobel prize: a story of cosmology  ambition  and the perils of science's highest honor. title: losing the nobel prize: a story of cosmology  ambition  and the perils of science's highest honor. author: brian keating. author: brian keating. subjects: methodology  awards  nobel prizes  science  astronomy  big bang theory  cosmology  science  methodology  nobel prizes
mao dun wen xue jiang yan jiu zi liao: maodun wenxuejiang yanjiu ziliao,nannan ren,2018,chinese,"chinese literature, awards, history and criticism, 20th century",https://openlibrary.org/images/icons/avatar_book-sm.png,title: mao dun wen xue jiang yan jiu zi liao: maodun wenxuejiang yanjiu ziliao. title: mao dun wen xue jiang yan jiu zi liao: maodun wenxuejiang yanjiu ziliao. author: nannan ren. author: nannan ren. subjects: chinese literature  awards  history and criticism  20th century
"maravara sasakom dvara pradatta sammana: (siropava, tazima, evam kuraba)",mahendrasiṃha taṃvara khetāsara,2018,rajasthani,"awards, royal houses, india, jodhpur (district)",https://openlibrary.org/images/icons/avatar_book-sm.png,title: maravara sasakom dvara pradatta sammana: (siropava  tazima  evam kuraba). title: maravara sasakom dvara pradatta sammana: (siropava  tazima  evam kuraba). author: mahendrasiṃha taṃvara khetāsara. author: mahendrasiṃha taṃvara khetāsara. subjects: awards  royal houses  india  jodhpur (district)
matthias wollgast: the steps with no name,matthias wollgast,2018,german,"exhibitions, installations (art), experimental films, art, awards, matthias wollgast (1981-), germany",https://openlibrary.org/images/icons/avatar_book-sm.png,title: matthias wollgast: the steps with no name. title: matthias wollgast: the steps with no name. author: matthias wollgast. author: matthias wollgast. subjects: exhibitions  installations (art)  experimental films  art  awards  matthias wollgast (1981-)  germany
"maxxi bvlgari prize 2018: talia chetrit, invernomuto, diego marcon",giulia ferracci,2018,italian,"maxxi bvlgari prize, exhibitions, young artists, art, awards, invernomuto (group of artists), talia chetrit (1982-), diego marcon (1985-), italy, rome",https://openlibrary.org/images/icons/avatar_book-sm.png,title: maxxi bvlgari prize 2018: talia chetrit  invernomuto  diego marcon. title: maxxi bvlgari prize 2018: talia chetrit  invernomuto  diego marcon. author: giulia ferracci. author: giulia ferracci. subjects: maxxi bvlgari prize  exhibitions  young artists  art  awards  invernomuto (group of artists)  talia chetrit (1982-)  diego marcon (1985-)  italy  rome
międzynarodowy salon martwa natura w fotografii: international exhibition still life in photography : częstochowa 2018,"poland) międzynarodowy salon ""martwa nat...",2018,polish,"still-life photography, artistic photography, competitions, awards",https://openlibrary.org/images/icons/avatar_book-sm.png,"title: międzynarodowy salon martwa natura w fotografii: international exhibition still life in photography : częstochowa 2018. title: międzynarodowy salon martwa natura w fotografii: international exhibition still life in photography : częstochowa 2018. author: poland) międzynarodowy salon ""martwa nat.... author: poland) międzynarodowy salon ""martwa nat.... subjects: still-life photography  artistic photography  competitions  awards"
newbery & caldecott awards,association for library service to children,2018,english,"awards, caldecott medal, newbery medal, children's literature",https://covers.openlibrary.org/b/id/13946149-L.jpg,title: newbery & caldecott awards. title: newbery & caldecott awards. author: association for library service to children. author: association for library service to children. subjects: awards  caldecott medal  newbery medal  children's literature
newbery & caldecott awards: a guide to the medal and honor books,association for library service to child...,2018,english,"awards, caldecott medal, newbery medal, children's literature, literary prizes, linda sue park",https://covers.openlibrary.org/b/id/13946149-M.jpg,title: newbery & caldecott awards: a guide to the medal and honor books. title: newbery & caldecott awards: a guide to the medal and honor books. author: association for library service to child.... author: association for library service to child.... subjects: awards  caldecott medal  newbery medal  children's literature  literary prizes  linda sue park
paramavīra cakra: bhāratīya laśkaranā 21 paramavīra śeradilonī śauryagāthā,harshala pushkarṇā,2018,gujarati,"param vir chakra, biography, army, officers, medals, badges, decorations, heroes, awards, armed forces, india",https://openlibrary.org/images/icons/avatar_book-sm.png,title: paramavīra cakra: bhāratīya laśkaranā 21 paramavīra śeradilonī śauryagāthā. title: paramavīra cakra: bhāratīya laśkaranā 21 paramavīra śeradilonī śauryagāthā. author: harshala pushkarṇā. author: harshala pushkarṇā. subjects: param vir chakra  biography  army  officers  medals  badges  decorations  heroes  awards  armed forces  india
peace and me,"ali winter, mickael el fathi",2018,english,"pacifists, biography, juvenile literature, nobel prize winners, history, peace, awards, non-fiction 7+",https://covers.openlibrary.org/b/id/12477144-M.jpg,title: peace and me. title: peace and me. author: ali winter  mickael el fathi. author: ali winter  mickael el fathi. subjects: pacifists  biography  juvenile literature  nobel prize winners  history  peace  awards  non-fiction 7+
pfalzpreis für bildende kunst 2018: malerei,heinz höfchen,2018,german,"german painting, exhibitions, painting, awards, germany, 21st century",https://openlibrary.org/images/icons/avatar_book-sm.png,title: pfalzpreis für bildende kunst 2018: malerei. title: pfalzpreis für bildende kunst 2018: malerei. author: heinz höfchen. author: heinz höfchen. subjects: german painting  exhibitions  painting  awards  germany  21st century
povestea premiului nux,adrian munteanu,2018,romanian,"awards, book industries and trade, exhibitions, adrian munteanu (1948-), italy, milan",https://openlibrary.org/images/icons/avatar_book-sm.png,title: povestea premiului nux. title: povestea premiului nux. author: adrian munteanu. author: adrian munteanu. subjects: awards  book industries and trade  exhibitions  adrian munteanu (1948-)  italy  milan
premio alberto j. trabucco 2018: dibujo,argentina) premio alberto j. trabucco. d...,2018,spanish,"exhibitions, drawing, awards, argentine drawing, marcelo boullosa, argentina, 21st century",https://openlibrary.org/images/icons/avatar_book-sm.png,title: premio alberto j. trabucco 2018: dibujo. title: premio alberto j. trabucco 2018: dibujo. author: argentina) premio alberto j. trabucco. d.... author: argentina) premio alberto j. trabucco. d.... subjects: exhibitions  drawing  awards  argentine drawing  marcelo boullosa  argentina  21st century
prix littéraires du gouverneur général du canada: une bibliographie,"andrew david irvine, edmond rivère, stephanie tolman",2018,french,"canadian literature, bibliography, awards",https://openlibrary.org/images/icons/avatar_book-sm.png,title: prix littéraires du gouverneur général du canada: une bibliographie. title: prix littéraires du gouverneur général du canada: une bibliographie. author: andrew david irvine  edmond rivère  stephanie tolman. author: andrew david irvine  edmond rivère  stephanie tolman. subjects: canadian literature  bibliography  awards
"prix meret oppenheim 2018: schweizer grand prix kunst = grand prix suisse d'art = gran premio svizzero d'arte = grond premi svizzer d'art : sylvie fleury, thomas hirschhorn, luigi snozzi","sylvie fleury, manuela schlumpf, giovanni carmine",2018,german,"prix meret oppenheim, interviews, art, awards, swiss art, artists, sylvie fleury (1961-), thomas hirschhorn, luigi snozzi (1932-), switzerland, 21st century",https://openlibrary.org/images/icons/avatar_book-sm.png,title: prix meret oppenheim 2018: schweizer grand prix kunst = grand prix suisse d'art = gran premio svizzero d'arte = grond premi svizzer d'art : sylvie fleury  thomas hirschhorn  luigi snozzi. title: prix meret oppenheim 2018: schweizer grand prix kunst = grand prix suisse d'art = gran premio svizzero d'arte = grond premi svizzer d'art : sylvie fleury  thomas hirschhorn  luigi snozzi. author: sylvie fleury  manuela schlumpf  giovanni carmine. author: sylvie fleury  manuela schlumpf  giovanni carmine. subjects: prix meret oppenheim  interviews  art  awards  swiss art  artists  sylvie fleury (1961-)  thomas hirschhorn  luigi snozzi (1932-)  switzerland  21st century
prix thun für kunst und ethik: eine wachsende skulptur von george steinmann : die preisträgerin 2018,ursula biemann,2018,german,"art, awards, video art, installations (art), ursula biemann (1955-), switzerland",https://openlibrary.org/images/icons/avatar_book-sm.png,title: prix thun für kunst und ethik: eine wachsende skulptur von george steinmann : die preisträgerin 2018. title: prix thun für kunst und ethik: eine wachsende skulptur von george steinmann : die preisträgerin 2018. author: ursula biemann. author: ursula biemann. subjects: art  awards  video art  installations (art)  ursula biemann (1955-)  switzerland
prémio award estação imagem 2018 coimbra,portugal) convento de são francisco (coi...,2018,portuguese,"artistic photography, exhibitions, photography, awards, portugal, coimbra",https://openlibrary.org/images/icons/avatar_book-sm.png,title: prémio award estação imagem 2018 coimbra. title: prémio award estação imagem 2018 coimbra. author: portugal) convento de são francisco (coi.... author: portugal) convento de são francisco (coi.... subjects: artistic photography  exhibitions  photography  awards  portugal  coimbra
shelley niro: scotiabank award,"ryan rice, wanda nanibush",2018,english,"indians of north america, pictorial works, exhibitions, awards, artistic photography, indian women photographers, women photographers, photography",https://covers.openlibrary.org/b/id/9175721-M.jpg,title: shelley niro: scotiabank award. title: shelley niro: scotiabank award. author: ryan rice  wanda nanibush. author: ryan rice  wanda nanibush. subjects: indians of north america  pictorial works  exhibitions  awards  artistic photography  indian women photographers  women photographers  photography
signature art prize 2018: asia pacific breweries foundation,asia pacific breweries foundation,2018,english,"asian art, exhibitions, art, artists, biography, awards, central asia, pacific area, asia, 21st century",https://openlibrary.org/images/icons/avatar_book-sm.png,title: signature art prize 2018: asia pacific breweries foundation. title: signature art prize 2018: asia pacific breweries foundation. author: asia pacific breweries foundation. author: asia pacific breweries foundation. subjects: asian art  exhibitions  art  artists  biography  awards  central asia  pacific area  asia  21st century
sustainable design 6: vers une nouvelle éthique pour l'architecture et la ville = towards a new ethics for architecture and the city,marie-hélène contal,2018,"french, english","sustainable design, sustainable architecture, global award for sustainable architecture, competitions, awards, france",https://openlibrary.org/images/icons/avatar_book-sm.png,title: sustainable design 6: vers une nouvelle éthique pour l'architecture et la ville = towards a new ethics for architecture and the city. title: sustainable design 6: vers une nouvelle éthique pour l'architecture et la ville = towards a new ethics for architecture and the city. author: marie-hélène contal. author: marie-hélène contal. subjects: sustainable design  sustainable architecture  global award for sustainable architecture  competitions  awards  france
swiss architectural award 2018,nicola navone,2018,italian,"modern architecture, exhibitions, architecture, awards, switzerland, 21st century",https://openlibrary.org/images/icons/avatar_book-sm.png,title: swiss architectural award 2018. title: swiss architectural award 2018. author: nicola navone. author: nicola navone. subjects: modern architecture  exhibitions  architecture  awards  switzerland  21st century
ten,pictet pictet group,2018,english,"documentary photography, awards, sustainability, pictorial works, artistic photography, prix pictet, prix pictet (uri) http://id.loc.gov/authorities/names/no2012005708 (uri) http://viaf.org/viaf/sourceid/lc|no2012005708",https://openlibrary.org/images/icons/avatar_book-sm.png,title: ten. title: ten. author: pictet pictet group. author: pictet pictet group. subjects: documentary photography  awards  sustainability  pictorial works  artistic photography  prix pictet  prix pictet (uri) http://id.loc.gov/authorities/names/no2012005708 (uri) http://viaf.org/viaf/sourceid/lc|no2012005708
tercer gran premio nacional de periodismo gonzo 2017,rodrigo islas brito,2018,spanish,"journalism, awards, mexico, 21st century",https://openlibrary.org/images/icons/avatar_book-sm.png,title: tercer gran premio nacional de periodismo gonzo 2017. title: tercer gran premio nacional de periodismo gonzo 2017. author: rodrigo islas brito. author: rodrigo islas brito. subjects: journalism  awards  mexico  21st century
the family tabor,cherise wolas,2018,english,"families, secrecy, awards, fiction, fiction, family life, jews, fiction",https://openlibrary.org/images/icons/avatar_book-sm.png,title: the family tabor. title: the family tabor. author: cherise wolas. author: cherise wolas. subjects: families  secrecy  awards  fiction  fiction  family life  jews  fiction
the hugo boss prize 2018,solomon r. guggenheim museum,2018,english,"hugo boss prize, modern art, awards, kunstpreis, bouchra khalili (1975-), simone leigh (1968-), teresa margolles (1963-), emeka ogboh (1977-), frances stark (1967-), wu tsang (1982-), 21st century",https://openlibrary.org/images/icons/avatar_book-sm.png,title: the hugo boss prize 2018. title: the hugo boss prize 2018. author: solomon r. guggenheim museum. author: solomon r. guggenheim museum. subjects: hugo boss prize  modern art  awards  kunstpreis  bouchra khalili (1975-)  simone leigh (1968-)  teresa margolles (1963-)  emeka ogboh (1977-)  frances stark (1967-)  wu tsang (1982-)  21st century
"toshokan, shuppan bunka no shōjiten: a reference guide to awards and prizes of libraries and publication culture",nichigai asoshiētsu,2018,japanese,"libraries and publishing, directories, awards, japan",https://openlibrary.org/images/icons/avatar_book-sm.png,title: toshokan  shuppan bunka no shōjiten: a reference guide to awards and prizes of libraries and publication culture. title: toshokan  shuppan bunka no shōjiten: a reference guide to awards and prizes of libraries and publication culture. author: nichigai asoshiētsu. author: nichigai asoshiētsu. subjects: libraries and publishing  directories  awards  japan
"under 30: giovane arte svizzera, premio kiefer hablitzel 2017, xiii edizione = junge schweizer kunst, kiefer hablitzel preis 2017, xiii edition",elio schenini,2018,italian,"swiss art, exhibitions, kiefer hablitzel preis, young artists, art, awards, switzerland, 21st century",https://openlibrary.org/images/icons/avatar_book-sm.png,title: under 30: giovane arte svizzera  premio kiefer hablitzel 2017  xiii edizione = junge schweizer kunst  kiefer hablitzel preis 2017  xiii edition. title: under 30: giovane arte svizzera  premio kiefer hablitzel 2017  xiii edizione = junge schweizer kunst  kiefer hablitzel preis 2017  xiii edition. author: elio schenini. author: elio schenini. subjects: swiss art  exhibitions  kiefer hablitzel preis  young artists  art  awards  switzerland  21st century
uses of reason in the evaluation of artworks: commentaries on the turner prize,les gillon,2018,english,"art and society, art criticism, turner prize, art, awards",https://openlibrary.org/images/icons/avatar_book-sm.png,title: uses of reason in the evaluation of artworks: commentaries on the turner prize. title: uses of reason in the evaluation of artworks: commentaries on the turner prize. author: les gillon. author: les gillon. subjects: art and society  art criticism  turner prize  art  awards
verleihung des elften würth-preises für europäische literatur an christoph ransmayr,stiftung würth,2018,german,"awards, european literature, christoph ransmayr (1954-)",https://openlibrary.org/images/icons/avatar_book-sm.png,title: verleihung des elften würth-preises für europäische literatur an christoph ransmayr. title: verleihung des elften würth-preises für europäische literatur an christoph ransmayr. author: stiftung würth. author: stiftung würth. subjects: awards  european literature  christoph ransmayr (1954-)
"villes et territoires en diagonale: pierre veltz, grand prix de l'urbanisme 2017, nominés jacques lévy, philippe madec, alfred peter","ariella masboungi, mireille guignard",2018,french,"awards, grand prix de l'urbanisme, city planning, modern architecture, architecture, history, pierre veltz, france, 21st century",https://openlibrary.org/images/icons/avatar_book-sm.png,title: villes et territoires en diagonale: pierre veltz  grand prix de l'urbanisme 2017  nominés jacques lévy  philippe madec  alfred peter. title: villes et territoires en diagonale: pierre veltz  grand prix de l'urbanisme 2017  nominés jacques lévy  philippe madec  alfred peter. author: ariella masboungi  mireille guignard. author: ariella masboungi  mireille guignard. subjects: awards  grand prix de l'urbanisme  city planning  modern architecture  architecture  history  pierre veltz  france  21st century
volgogradt︠s︡y - kavalery ordena aleksandra nevskogo,a. v. materikin,2018,russian,"stalingrad, battle of, volgograd, russia, 1942-1943, medals, awards, veterans, biography, world war, 1939-1945, medals, badges, decorations, soviet union. raboche-krestʹi︠a︡nskai︠a︡ krasnai︠a︡ armii︠a︡, soviet union, russia (federation), volgograd, volgograd (russia), stalingradskai︠a︡ oblastʹ",https://openlibrary.org/images/icons/avatar_book-sm.png,title: volgogradt︠s︡y - kavalery ordena aleksandra nevskogo. title: volgogradt︠s︡y - kavalery ordena aleksandra nevskogo. author: a. v. materikin. author: a. v. materikin. subjects: stalingrad  battle of  volgograd  russia  1942-1943  medals  awards  veterans  biography  world war  1939-1945  medals  badges  decorations  soviet union. raboche-krestʹi︠a︡nskai︠a︡ krasnai︠a︡ armii︠a︡  soviet union  russia (federation)  volgograd  volgograd (russia)  stalingradskai︠a︡ oblastʹ
von gorbatschow bis biermann: der point-alpha-preis für die einheit deutschlands und europas,"jürgen aretz, christine lieberknecht",2018,german,"peace, awards, award presentations, germany, europe",https://openlibrary.org/images/icons/avatar_book-sm.png,title: von gorbatschow bis biermann: der point-alpha-preis für die einheit deutschlands und europas. title: von gorbatschow bis biermann: der point-alpha-preis für die einheit deutschlands und europas. author: jürgen aretz  christine lieberknecht. author: jürgen aretz  christine lieberknecht. subjects: peace  awards  award presentations  germany  europe
was ist wahr: kunstpreis der erzdiözese freiburg 2019,isabelle von marschall,2018,german,"modern art, exhibitions, art and religion, art, awards, germany, freiburg im breisgau, 21st century",https://openlibrary.org/images/icons/avatar_book-sm.png,title: was ist wahr: kunstpreis der erzdiözese freiburg 2019. title: was ist wahr: kunstpreis der erzdiözese freiburg 2019. author: isabelle von marschall. author: isabelle von marschall. subjects: modern art  exhibitions  art and religion  art  awards  germany  freiburg im breisgau  21st century
wenn wir den atem anhalten: ulrich-grasnick-lyrikpreis 2017,"almut armélin, ulrich grasnick",2018,german,"german poetry, literary prizes, awards, ulrich grasnick, germany",https://openlibrary.org/images/icons/avatar_book-sm.png,title: wenn wir den atem anhalten: ulrich-grasnick-lyrikpreis 2017. title: wenn wir den atem anhalten: ulrich-grasnick-lyrikpreis 2017. author: almut armélin  ulrich grasnick. author: almut armélin  ulrich grasnick. subjects: german poetry  literary prizes  awards  ulrich grasnick  germany
wildlife photographer of the year: highlights 27,the natural history museum,2018,english,"animals, pictorial works, nature, awards, great britain, pictorial works",https://covers.openlibrary.org/b/id/8812303-M.jpg,title: wildlife photographer of the year: highlights 27. title: wildlife photographer of the year: highlights 27. author: the natural history museum. author: the natural history museum. subjects: animals  pictorial works  nature  awards  great britain  pictorial works
wildlife photographer of the year: unforgettable underwater photography,rosamund kidman cox,2018,english,"underwater photography, marine animals, deep-sea animals, pictorial works, wildlife photography, awards, animals, fishes, marine photography, nature, photography, competitions",https://covers.openlibrary.org/b/id/8813461-M.jpg,title: wildlife photographer of the year: unforgettable underwater photography. title: wildlife photographer of the year: unforgettable underwater photography. author: rosamund kidman cox. author: rosamund kidman cox. subjects: underwater photography  marine animals  deep-sea animals  pictorial works  wildlife photography  awards  animals  fishes  marine photography  nature  photography  competitions
"xix bijenale studentske grafike srbije, 12-31. 5. 2018","maida gruden, iva kijevčanin",2018,serbian,"graphic arts, study and teaching, technique, awards, competitions, exhibitions, prints, graphic artists, art students, college students' art, bijenale studentske grafike srbije, serbia",https://openlibrary.org/images/icons/avatar_book-sm.png,title: xix bijenale studentske grafike srbije  12-31. 5. 2018. title: xix bijenale studentske grafike srbije  12-31. 5. 2018. author: maida gruden  iva kijevčanin. author: maida gruden  iva kijevčanin. subjects: graphic arts  study and teaching  technique  awards  competitions  exhibitions  prints  graphic artists  art students  college students' art  bijenale studentske grafike srbije  serbia
yayin ḥalomot: asupat sipurim zokhe peras gefen,rani graff,2018,hebrew,"hebrew short stories, hebrew science fiction, hebrew fantasy fiction, peras gefen, science fiction, awards, fantasy fiction, israel",https://openlibrary.org/images/icons/avatar_book-sm.png,title: yayin ḥalomot: asupat sipurim zokhe peras gefen. title: yayin ḥalomot: asupat sipurim zokhe peras gefen. author: rani graff. author: rani graff. subjects: hebrew short stories  hebrew science fiction  hebrew fantasy fiction  peras gefen  science fiction  awards  fantasy fiction  israel
young architects 18: permanence,"the architectural league of new york, mimi hoang, anne rieselbach",2018,english,"architecture, united states, architects, exhibitions, architecture, awards, modern architecture, history, installations (art), young architects, architectural league prize for young architects and designers, architectural league prize for young architects and designers (uri) http://id.loc.gov/authorities/names/n2010082694 (uri) http://viaf.org/viaf/sourceid/lc|n2010082694, architectural league prize for young architects and designers fast (ocolc)fst01776258 (uri) http://id.worldcat.org/fast/fst01776258",https://openlibrary.org/images/icons/avatar_book-sm.png,title: young architects 18: permanence. title: young architects 18: permanence. author: the architectural league of new york  mimi hoang  anne rieselbach. author: the architectural league of new york  mimi hoang  anne rieselbach. subjects: architecture  united states  architects  exhibitions  architecture  awards  modern architecture  history  installations (art)  young architects  architectural league prize for young architects and designers  architectural league prize for young architects and designers (uri) http://id.loc.gov/authorities/names/n2010082694 (uri) http://viaf.org/viaf/sourceid/lc|n2010082694  architectural league prize for young architects and designers fast (ocolc)fst01776258 (uri) http://id.worldcat.org/fast/fst01776258
